id,loan_status
58645,0.701659432443624
58646,0.0290480764140154
58647,0.933442616008504
58648,0.0468426734362019
58649,0.212198393521713
58650,0.715494497563046
58651,0.00417099808795187
58652,0.0211980556567035
58653,0.406302982676782
58654,0.0662609111577822
58655,0.0367992509270407
58656,0.0979401287328271
58657,0.0746100668848491
58658,0.0205907919374486
58659,0.0725861712159974
58660,0.0765081375516039
58661,0.0281587575420966
58662,0.00334948012914849
58663,0.171389952302661
58664,0.00414172693257698
58665,0.0840345318805637
58666,0.0093584255648272
58667,0.0115035137578039
58668,0.0288680215302021
58669,0.0348205626897671
58670,0.00661642047625962
58671,0.209277720757805
58672,0.00681771279208896
58673,0.829471095229818
58674,0.00528705408511792
58675,0.0965158429490713
58676,0.175055373283469
58677,0.122245841235579
58678,0.0115035137578039
58679,0.344232515881647
58680,0.10698392900568
58681,0.162917367218402
58682,0.0206288547651867
58683,0.00320242569652237
58684,0.274388622701834
58685,0.287436940028893
58686,0.0259344992345506
58687,0.742573214108862
58688,0.0267299666246865
58689,0.0733991823854867
58690,0.00107871450708579
58691,0.131390499421867
58692,0.0977906383667938
58693,0.0125667249898208
58694,0.0200136635375341
58695,0.946990114595974
58696,0.0356822126362686
58697,0.0786247077606037
58698,0.0376845257087366
58699,0.0260237766942108
58700,0.00805310530303072
58701,0.0141292640210059
58702,0.0620861173434752
58703,0.198406612059733
58704,0.164654484223392
58705,0.262214323447976
58706,0.0184785329103161
58707,0.0300715717587928
58708,0.0620861173434752
58709,0.836584449009239
58710,0.0360878469247875
58711,0.763823622696402
58712,0.0499030882823378
58713,0.00718192582520381
58714,0.0765081375516039
58715,0.0198477343780634
58716,0.0754647175065708
58717,0.0281587575420966
58718,0.0669781941524518
58719,0.015020688863303
58720,0.001862228595359
58721,0.158198334468896
58722,0.100380713695314
58723,0.036622642844559
58724,0.0144673947763311
58725,0.131390499421867
58726,0.0501388858312841
58727,0.793051937870124
58728,0.479175061950774
58729,0.0127314608536284
58730,0.0136660575705954
58731,0.0200136635375341
58732,0.0919053662437274
58733,0.00178072034313285
58734,0.02365254670642
58735,0.0597392133674252
58736,0.0472286278732446
58737,0.148263440623634
58738,0.942301124674578
58739,0.158998654295034
58740,0.92258055004488
58741,0.126536643617156
58742,0.00893254620543564
58743,0.0977906383667938
58744,0.0371167249973142
58745,0.0260237766942108
58746,0.153887789069293
58747,0.0286200089016498
58748,0.0206288547651867
58749,0.0564458178997995
58750,0.0430163027305032
58751,0.0794487276284744
58752,0.100006424162051
58753,0.0191369554122858
58754,0.0606663869496484
58755,0.19784608421974
58756,0.0346197828489773
58757,0.0347238208447764
58758,0.0203951153100669
58759,0.00236931723291153
58760,0.00239475389580308
58761,0.0200136635375341
58762,0.00761641040475697
58763,0.272414217618698
58764,0.00681771279208896
58765,0.122490108791516
58766,0.0564458178997995
58767,0.0188375966216979
58768,0.272414217618698
58769,0.0243511652433666
58770,0.05609189930733
58771,0.0761241701523923
58772,0.0723490219230162
58773,0.0455399814868034
58774,0.0276334360427732
58775,0.126536643617156
58776,0.508342400237555
58777,0.0943662248457675
58778,0.0501388858312841
58779,0.122624924828854
58780,0.0365477245832408
58781,0.0163374384801365
58782,0.0831340216552695
58783,0.176495311732928
58784,0.0253937896958456
58785,0.00995402372184032
58786,0.100006424162051
58787,0.0332748834479573
58788,0.344232515881647
58789,0.0340762425097643
58790,0.125109149257546
58791,0.239012915748664
58792,0.00236931723291153
58793,0.0840345318805637
58794,0.0286200089016498
58795,0.112472254254588
58796,0.0940651344559077
58797,0.10539643526528
58798,0.142218341998497
58799,0.943885270034528
58800,0.0260237766942108
58801,0.0160964759209216
58802,0.0950612424543307
58803,0.193512390230538
58804,0.665435259405292
58805,0.91741100949455
58806,0.188144374862893
58807,0.015397580130496
58808,0.00521809276126852
58809,0.341417165780146
58810,0.817589524593404
58811,0.126927108891785
58812,0.207574667449032
